 N,T,W,RMAX
       691, 0.5000E-06, 0.6006E+00, 0.1000E-01,
 it,x0( 1),z0(  1),rr(  1),x0(100),z0(100),rr(100)     ,x0(200),z0(200),rr(200),x0(300),z0(300),rr(300)                  ,x0(400),z0(400),rr(400),x0(500),z0(500),rr(500)                  ,x0(600),z0(600),rr(600),x0(  n),z0(  n),rr(  n)
     10000, 0.1001E-01, 0.9887E-02, 0.5000E-02, 0.1501E+00, 0.8997E-01, 0.1000E-01, 0.5105E+00, 0.1700E+00, 0.5000E-02, 0.1401E+00, 0.2701E+00, 0.5000E-02, 0.2202E+00, 0.3502E+00, 0.1000E-01, 0.3604E+00, 0.4303E+00, 0.1000E-01, 0.5205E+00, 0.5104E+00, 0.5000E-02, 0.5806E+00, 0.5905E+00, 0.1000E-01
     20000, 0.1001E-01, 0.9520E-02, 0.5000E-02, 0.1501E+00, 0.8960E-01, 0.1000E-01, 0.5105E+00, 0.1697E+00, 0.5000E-02, 0.1401E+00, 0.2698E+00, 0.5000E-02, 0.2202E+00, 0.3499E+00, 0.1000E-01, 0.3604E+00, 0.4299E+00, 0.1000E-01, 0.5205E+00, 0.5100E+00, 0.5000E-02, 0.5806E+00, 0.5901E+00, 0.1000E-01
     30000, 0.1001E-01, 0.8907E-02, 0.5000E-02, 0.1501E+00, 0.8899E-01, 0.1000E-01, 0.5105E+00, 0.1691E+00, 0.5000E-02, 0.1401E+00, 0.2692E+00, 0.5000E-02, 0.2202E+00, 0.3492E+00, 0.1000E-01, 0.3604E+00, 0.4293E+00, 0.1000E-01, 0.5205E+00, 0.5094E+00, 0.5000E-02, 0.5806E+00, 0.5895E+00, 0.1000E-01
     40000, 0.1001E-01, 0.8049E-02, 0.5000E-02, 0.1501E+00, 0.8813E-01, 0.1000E-01, 0.5105E+00, 0.1682E+00, 0.5000E-02, 0.1401E+00, 0.2683E+00, 0.5000E-02, 0.2202E+00, 0.3484E+00, 0.1000E-01, 0.3604E+00, 0.4285E+00, 0.1000E-01, 0.5205E+00, 0.5085E+00, 0.5000E-02, 0.5806E+00, 0.5886E+00, 0.1000E-01
     50000, 0.1001E-01, 0.6945E-02, 0.5000E-02, 0.1501E+00, 0.8703E-01, 0.1000E-01, 0.5105E+00, 0.1671E+00, 0.5000E-02, 0.1401E+00, 0.2672E+00, 0.5000E-02, 0.2202E+00, 0.3473E+00, 0.1000E-01, 0.3604E+00, 0.4274E+00, 0.1000E-01, 0.5205E+00, 0.5074E+00, 0.5000E-02, 0.5806E+00, 0.5875E+00, 0.1000E-01
     60000, 0.1001E-01, 0.5597E-02, 0.5000E-02, 0.1501E+00, 0.8568E-01, 0.1000E-01, 0.5105E+00, 0.1658E+00, 0.5000E-02, 0.1401E+00, 0.2659E+00, 0.5000E-02, 0.2202E+00, 0.3459E+00, 0.1000E-01, 0.3604E+00, 0.4260E+00, 0.1000E-01, 0.5205E+00, 0.5061E+00, 0.5000E-02, 0.5806E+00, 0.5862E+00, 0.1000E-01
     70000, 0.1001E-01, 0.4972E-02, 0.5000E-02, 0.1501E+00, 0.8408E-01, 0.1000E-01, 0.5105E+00, 0.1642E+00, 0.5000E-02, 0.1401E+00, 0.2643E+00, 0.5000E-02, 0.2202E+00, 0.3443E+00, 0.1000E-01, 0.3604E+00, 0.4244E+00, 0.1000E-01, 0.5205E+00, 0.5045E+00, 0.5000E-02, 0.5806E+00, 0.5846E+00, 0.1000E-01
     80000, 0.1001E-01, 0.4974E-02, 0.5000E-02, 0.1501E+00, 0.8224E-01, 0.1000E-01, 0.5105E+00, 0.1623E+00, 0.5000E-02, 0.1401E+00, 0.2624E+00, 0.5000E-02, 0.2202E+00, 0.3425E+00, 0.1000E-01, 0.3604E+00, 0.4226E+00, 0.1000E-01, 0.5205E+00, 0.5027E+00, 0.5000E-02, 0.5806E+00, 0.5827E+00, 0.1000E-01
     90000, 0.1001E-01, 0.4975E-02, 0.5000E-02, 0.1501E+00, 0.8016E-01, 0.1000E-01, 0.5105E+00, 0.1602E+00, 0.5000E-02, 0.1401E+00, 0.2603E+00, 0.5000E-02, 0.2202E+00, 0.3404E+00, 0.1000E-01, 0.3604E+00, 0.4205E+00, 0.1000E-01, 0.5205E+00, 0.5006E+00, 0.5000E-02, 0.5806E+00, 0.5807E+00, 0.1000E-01
    100000, 0.1001E-01, 0.4976E-02, 0.5000E-02, 0.1501E+00, 0.7783E-01, 0.1000E-01, 0.5105E+00, 0.1579E+00, 0.5000E-02, 0.1401E+00, 0.2580E+00, 0.5000E-02, 0.2202E+00, 0.3381E+00, 0.1000E-01, 0.3604E+00, 0.4182E+00, 0.1000E-01, 0.5205E+00, 0.4983E+00, 0.5000E-02, 0.5806E+00, 0.5783E+00, 0.1000E-01
