 No,X0(ini),Z0(ini),rr(ini),,x0(ini),z0(R=r_0),z0(R=r_1)
1,1.00E-02,1.00E-02,5.00E-03,,1.00E-02,0.01001,0
2,3.00E-02,1.00E-02,5.00E-03,,3.00E-02,0.01001,0
3,5.01E-02,1.00E-02,5.00E-03,,5.01E-02,0.01001,0
4,7.01E-02,1.00E-02,1.00E-02,,7.01E-02,0,0.01001
5,9.01E-02,1.00E-02,5.00E-03,,9.01E-02,0.01001,0
6,1.10E-01,1.00E-02,5.00E-03,,1.10E-01,0.01001,0
7,1.30E-01,1.00E-02,5.00E-03,,1.30E-01,0.01001,0
8,1.50E-01,1.00E-02,5.00E-03,,1.50E-01,0.01001,0
9,1.70E-01,1.00E-02,5.00E-03,,1.70E-01,0.01001,0
10,1.90E-01,1.00E-02,5.00E-03,,1.90E-01,0.01001,0
11,2.10E-01,1.00E-02,1.00E-02,,2.10E-01,0,0.01001
12,2.30E-01,1.00E-02,1.00E-02,,2.30E-01,0,0.01001
13,2.50E-01,1.00E-02,5.00E-03,,2.50E-01,0.01001,0
14,2.70E-01,1.00E-02,1.00E-02,,2.70E-01,0,0.01001
15,3.30E-01,1.00E-02,1.00E-02,,3.30E-01,0,0.01001
16,3.50E-01,1.00E-02,1.00E-02,,3.50E-01,0,0.01001
17,4.30E-01,1.00E-02,1.00E-02,,4.30E-01,0,0.01001
18,4.51E-01,1.00E-02,1.00E-02,,4.51E-01,0,0.01001
19,4.71E-01,1.00E-02,1.00E-02,,4.71E-01,0,0.01001
20,4.91E-01,1.00E-02,5.00E-03,,4.91E-01,0.01001,0
21,5.11E-01,1.00E-02,5.00E-03,,5.11E-01,0.01001,0
22,5.71E-01,1.00E-02,1.00E-02,,5.71E-01,0,0.01001
23,5.91E-01,1.00E-02,5.00E-03,,5.91E-01,0.01001,0
24,2.00E-02,3.00E-02,5.00E-03,,2.00E-02,0.03003,0
25,4.00E-02,3.00E-02,5.00E-03,,4.00E-02,0.03003,0
26,6.01E-02,3.00E-02,5.00E-03,,6.01E-02,0.03003,0
27,8.01E-02,3.00E-02,5.00E-03,,8.01E-02,0.03003,0
28,1.00E-01,3.00E-02,5.00E-03,,1.00E-01,0.03003,0
29,1.20E-01,3.00E-02,5.00E-03,,1.20E-01,0.03003,0
30,1.40E-01,3.00E-02,1.00E-02,,1.40E-01,0,0.03003
31,1.60E-01,3.00E-02,5.00E-03,,1.60E-01,0.03003,0
32,1.80E-01,3.00E-02,1.00E-02,,1.80E-01,0,0.03003
33,2.00E-01,3.00E-02,5.00E-03,,2.00E-01,0.03003,0
34,2.20E-01,3.00E-02,1.00E-02,,2.20E-01,0,0.03003
35,2.40E-01,3.00E-02,5.00E-03,,2.40E-01,0.03003,0
36,2.60E-01,3.00E-02,5.00E-03,,2.60E-01,0.03003,0
37,3.00E-01,3.00E-02,5.00E-03,,3.00E-01,0.03003,0
38,3.20E-01,3.00E-02,5.00E-03,,3.20E-01,0.03003,0
39,3.40E-01,3.00E-02,5.00E-03,,3.40E-01,0.03003,0
40,3.60E-01,3.00E-02,5.00E-03,,3.60E-01,0.03003,0
41,3.80E-01,3.00E-02,1.00E-02,,3.80E-01,0,0.03003
42,4.20E-01,3.00E-02,1.00E-02,,4.20E-01,0,0.03003
43,4.40E-01,3.00E-02,1.00E-02,,4.40E-01,0,0.03003
44,4.61E-01,3.00E-02,1.00E-02,,4.61E-01,0,0.03003
45,4.81E-01,3.00E-02,5.00E-03,,4.81E-01,0.03003,0
46,5.01E-01,3.00E-02,5.00E-03,,5.01E-01,0.03003,0
47,5.21E-01,3.00E-02,1.00E-02,,5.21E-01,0,0.03003
48,5.41E-01,3.00E-02,1.00E-02,,5.41E-01,0,0.03003
49,1.00E-02,5.01E-02,1.00E-02,,1.00E-02,0,0.05005
50,3.00E-02,5.01E-02,5.00E-03,,3.00E-02,0.05005,0
51,7.01E-02,5.01E-02,1.00E-02,,7.01E-02,0,0.05005
52,9.01E-02,5.01E-02,1.00E-02,,9.01E-02,0,0.05005
53,1.10E-01,5.01E-02,5.00E-03,,1.10E-01,0.05005,0
54,1.50E-01,5.01E-02,5.00E-03,,1.50E-01,0.05005,0
55,2.10E-01,5.01E-02,1.00E-02,,2.10E-01,0,0.05005
56,2.50E-01,5.01E-02,5.00E-03,,2.50E-01,0.05005,0
57,2.70E-01,5.01E-02,5.00E-03,,2.70E-01,0.05005,0
58,3.10E-01,5.01E-02,1.00E-02,,3.10E-01,0,0.05005
